Date;Time;Severity;TID;This;Function;Message
2025/09/16;17:29:37.867;DEBUG;8776;0000000000000000;DalsaCamera::initCamera@39;"DALSA采集卡初始化中..."
2025/09/16;17:29:44.962;DEBUG;8776;0000000000000000;DalsaCamera::initCamera@47;"ServerName = Xtium-CL_MX4_1"
2025/09/16;17:29:44.963;DEBUG;8776;0000000000000000;DalsaCamera::initCamera@59;"Acquisition 对象未创建，尝试 Create()..."
2025/09/16;17:29:44.987;DEBUG;8776;0000000000000000;DalsaCamera::initCamera@65;"Acquisition 创建成功"
2025/09/16;17:29:44.987;DEBUG;8776;0000000000000000;DalsaCamera::initCamera@69;"Buffers 对象未创建，尝试 Create()..."
2025/09/16;17:29:44.987;DEBUG;8776;0000000000000000;DalsaCamera::initCamera@75;"Buffers 创建成功"
2025/09/16;17:29:44.987;DEBUG;8776;0000000000000000;DalsaCamera::initCamera@89;"Xfer 对象未创建，尝试 Create()..."
2025/09/16;17:29:44.989;DEBUG;8776;0000000000000000;DalsaCamera::initCamera@95;"Xfer 创建成功"
2025/09/16;17:29:44.989;DEBUG;8776;0000000000000000;DalsaCamera::initCamera@99;"XferPair 设置为 CycleNextWithTrash"
2025/09/16;17:29:44.990;DEBUG;8776;0000000000000000;DalsaCamera::initCamera@104;"DALSA采集卡初始化完成, 分辨率 = 400 x 480"
2025/09/16;17:29:59.925;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:29:59.925;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:29:59.938;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:29:59.938;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:29:59.952;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:29:59.952;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:29:59.966;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:29:59.967;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:29:59.979;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:29:59.984;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:29:59.993;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.001;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.007;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.017;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.021;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.034;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.035;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.048;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.050;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.050;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.062;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.067;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.075;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.083;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.089;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.100;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.103;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.117;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.118;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.118;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.130;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.134;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.144;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.151;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.158;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.167;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.171;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.184;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.185;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.199;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.201;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.201;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.212;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.217;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.226;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.234;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.240;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.250;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.254;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.267;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.267;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.281;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.284;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.284;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.295;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.301;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.309;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.317;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.322;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.334;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.336;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.350;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.351;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.351;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.363;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.367;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.377;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.383;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
2025/09/16;17:30:00.391;DEBUG;8776;0000000000000000;DalsaCamera::handleImageFromCallback@219;"发送图像帧"
2025/09/16;17:30:00.402;DEBUG;6896;0000000000000000;CISWidget::onNewImage@33;"接受图像帧率"
