Time(s),StepIndex,C0_LocalTx,C0_LocalTy,C0_RzDeg,C1_LocalTx,C1_LocalTy,C1_RzDeg,C2_LocalTx,C2_LocalTy,C2_RzDeg,C3_LocalTx,C3_LocalTy,C3_RzDeg,C4_LocalTx,C4_LocalTy,C4_RzDeg,C5_LocalTx,C5_LocalTy,C5_RzDeg,C6_LocalTx,C6_LocalTy,C6_RzDeg
0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033333,1,-0.041109,-0.026727,0.003588,-0.054738,-0.052900,0.011465,0.000583,-0.028433,-0.009008,0.016953,-0.015681,0.003081,-0.005331,-0.003236,-0.000467,-0.016669,0.046508,0.014059,0.000000,0.000000,0.000000
0.066667,2,-0.082219,-0.053455,0.007177,-0.109476,-0.105799,0.022930,0.001167,-0.056866,-0.018016,0.033907,-0.031361,0.006162,-0.010661,-0.006472,-0.000935,-0.033338,0.093016,0.028119,0.000000,0.000000,0.000000
0.100000,3,-0.123328,-0.080182,0.010765,-0.164214,-0.158699,0.034395,0.001750,-0.085299,-0.027024,0.050860,-0.047042,0.009243,-0.015992,-0.009707,-0.001402,-0.050006,0.139524,0.042178,0.000000,0.000000,0.000000
0.133333,4,-0.164437,-0.106910,0.014353,-0.218952,-0.211598,0.045861,0.002334,-0.113732,-0.036031,0.067814,-0.062723,0.012324,-0.021322,-0.012943,-0.001870,-0.066675,0.186032,0.056238,0.000000,0.000000,0.000000
0.166667,5,-0.205547,-0.133637,0.017942,-0.273690,-0.264498,0.057326,0.002917,-0.142165,-0.045039,0.084767,-0.078404,0.015405,-0.026653,-0.016179,-0.002337,-0.083344,0.232540,0.070297,0.000000,0.000000,0.000000
0.200000,6,-0.246656,-0.160365,0.021530,-0.328428,-0.317398,0.068791,0.003500,-0.170598,-0.054047,0.101721,-0.094084,0.018486,-0.031984,-0.019415,-0.002805,-0.100013,0.279048,0.084356,0.000000,0.000000,0.000000
0.233333,7,-0.287765,-0.187092,0.025119,-0.383166,-0.370297,0.080256,0.004084,-0.199031,-0.063055,0.118674,-0.109765,0.021567,-0.037314,-0.022651,-0.003272,-0.116682,0.325556,0.098416,0.000000,0.000000,0.000000
0.266667,8,-0.328875,-0.213820,0.028707,-0.437904,-0.423197,0.091721,0.004667,-0.227464,-0.072063,0.135628,-0.125446,0.024648,-0.042645,-0.025886,-0.003740,-0.133351,0.372064,0.112475,0.000000,0.000000,0.000000
0.300000,9,-0.369984,-0.240547,0.032295,-0.492642,-0.476096,0.103186,0.005250,-0.255897,-0.081071,0.152581,-0.141126,0.027729,-0.047975,-0.029122,-0.004207,-0.150019,0.418572,0.126534,0.000000,0.000000,0.000000
0.333333,10,-0.411094,-0.267275,0.035884,-0.547380,-0.528996,0.114652,0.005834,-0.284330,-0.090078,0.169534,-0.156807,0.030810,-0.053306,-0.032358,-0.004675,-0.166688,0.465080,0.140594,0.000000,0.000000,0.000000
